Time,Tamb,Tparrot,wt56,wt2425
Fri Jun 14 12:40:03 2024,30.75,26.875,0.270625,2.36194444444438
Fri Jun 14 12:40:36 2024,30.625,26.875,0.1971875,2.3919444444443796
Fri Jun 14 12:41:08 2024,30.75,26.937,0.185625,2.47944444444438
Fri Jun 14 12:41:41 2024,30.75,26.937,0.188125,2.39944444444438
Fri Jun 14 12:42:13 2024,30.75,26.937,0.133125,2.48694444444438
Fri Jun 14 12:42:45 2024,30.75,27.0,0.093125,2.3894444444443796
Fri Jun 14 12:43:18 2024,30.812,27.0,0.16033000000003084,2.4894444444443797
Fri Jun 14 12:43:50 2024,30.875,27.0,0.3465625,2.4744444444443796
Fri Jun 14 12:44:23 2024,30.875,27.0,0.1890625,2.5544444444443797
Fri Jun 14 12:44:55 2024,30.875,27.062,0.2140625,2.4919444444443797
Fri Jun 14 12:45:28 2024,30.875,27.062,0.1715625,2.5794444444443796
Fri Jun 14 12:46:00 2024,30.875,27.062,0.1840625,2.50694444444438
Fri Jun 14 12:46:33 2024,30.875,27.125,0.0940625,2.58694444444438
Fri Jun 14 12:47:05 2024,30.937,27.062,0.19376750000003085,2.64694444444438
Fri Jun 14 12:47:38 2024,30.875,27.125,0.0765625,2.52194444444438
Fri Jun 14 12:48:10 2024,30.875,27.125,0.0340625,2.5594444444443796
Fri Jun 14 12:48:42 2024,30.937,27.187,0.11126750000003086,2.60694444444438
Fri Jun 14 12:49:15 2024,30.937,27.187,0.13376750000003085,2.5744444444443797
Fri Jun 14 12:49:47 2024,31.0,27.187,0.15,2.7269444444443796
Fri Jun 14 12:50:20 2024,31.0,27.187,0.0975,2.66944444444438
Fri Jun 14 12:50:52 2024,31.0,27.187,0.1575,2.62944444444438
Fri Jun 14 12:51:25 2024,31.0,27.25,0.13,2.66694444444438
Fri Jun 14 12:51:57 2024,31.062,27.25,0.14470500000003084,2.75444444444438
Fri Jun 14 12:52:30 2024,31.062,27.25,0.11970500000003086,2.7444444444443796
Fri Jun 14 12:53:02 2024,31.062,27.312,0.15220500000003084,2.7169444444443798
Fri Jun 14 12:53:35 2024,31.125,27.312,0.2234375,2.7419444444443797
Fri Jun 14 12:54:07 2024,31.125,27.312,0.1084375,2.81944444444438
Fri Jun 14 12:54:39 2024,31.125,27.312,0.2659375,2.7844444444443797
Fri Jun 14 12:55:12 2024,31.062,27.312,-0.01029499999996915,2.8019444444443797
Fri Jun 14 12:55:44 2024,31.125,27.312,0.0384375,2.8069444444443796
Fri Jun 14 12:56:17 2024,31.125,27.375,0.0784375,2.81944444444438
Fri Jun 14 12:56:49 2024,31.187,27.375,0.04564250000003085,2.8019444444443797
Fri Jun 14 12:57:22 2024,31.187,27.375,0.07064250000003085,2.89444444444438
Fri Jun 14 12:57:54 2024,31.125,27.375,0.0909375,2.92194444444438
Fri Jun 14 12:58:27 2024,31.187,27.375,0.00564250000003085,2.8019444444443797
